spelling	transcription	stressTrans	syllStruct	syllabification	antepenultOnset	apStress	penultHLweight	preantepenultHLweight	finalHLweight	morphology	vowelLength	preantepenultWeight	antepenultWeight	mainStress	finalStress	papStress	penultOnset	suffixType	penultWeight	antepenultHLweight	S	finalWeight	Suffix	finalC	Prefix	prefixType	finalOnset	finalV	penultStress	codaLength	coda	freq	POS
provident	PRAA1VIH0DAH0NT	100	CCL.CL.CLC	(p r AA)(v IH)(d AN t)	CC	1	L	other	H	complex	shortV	other	-V	antepenult	0	other	C	other	-V	L	otherSingleton	-LC	noSuffix	Singleton	prefix	unstressed	C	an	0	1	 t	0.4771	A
usual	YUW1ZHUW0AH0L	100	CL.CL.L	(y UW)(zh UW)(AL)	C	1	L	other	L	complex	shortV	other	-V	antepenult	0	other	C	antepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	0	al	0	0		3.1691	A
primus	PRAY1MAH0S	10	CCT.CLC	(p r AY)(m AH s)	other	other	H	other	H	simple	shortV	other	other	penult	0	other	CC	other	-VV	other	S	-LC	noSuffix	Singleton	noPrefix	other	C	ah	1	1	 s	0.6021	N
obliteration	AH0BLIH2TER0EY1SHAH0N	02010	L.CCL.CL.T.CL	(AH)(b l IH)(t ER)(EY)(sh AN)	C	0	H	L	L	complex	shortV	-V	-V	penult	0	2	0	penultShift	-VV	L	other	-V	suffix	open	prefix	unstressed	C	an	1	0		0.8451	N
peasantry	PEH1ZAH0NTRIY0	100	CL.CL.CCL	(p EH)(z AN)(t r IY)	C	1	L	other	L	simple	shortV	other	-V	antepenult	0	other	C	other	-V	L	other	-V	noSuffix	open	noPrefix	other	CC	iy	0	0		0.6990	N
tenant	TEH1NAH0NT	10	CL.CLC	(t EH)(n AN t)	other	other	L	other	H	complex	shortV	other	other	penult	0	other	C	noshiftOneSyll	-V	other	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	an	1	1	 t	2.0086	V
impatience	IH0MPEY1SHAH0NS	010	LC.CT.CLC	(IH m)(p EY)(sh AN s)	0	0	H	other	H	simple	shortV	other	-LC	penult	0	other	C	other	-VV	H	S	-LC	noSuffix	Singleton	noPrefix	other	C	an	1	1	 s	1.5315	N
pancreatic	PAE2NGKRIY0AE1TIH0K	2010	CLC.CCL.L.CLC	(p AE ng)(k r IY)(AE)(t IH k)	CC	0	L	H	H	complex	shortV	-LC	-V	penult	0	2	0	penultShift	-V	L	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	ih	1	1	 k	1.2041	A
tanker	TAE1NGKER0	10	CLC.CL	(t AE ng)(k ER)	other	other	H	other	L	complex	shortV	other	other	penult	0	other	C	noshiftOneSyll	-LC	other	other	-V	suffix	open	noPrefix	other	C	er	1	0		1.7324	N
organic	AO2RGAE1NIH0K	210	LC.CL.CLC	(AO r)(g AE)(n IH k)	0	2	L	other	H	complex	shortV	other	-LC	penult	0	other	C	penultShift	-V	H	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	ih	1	1	 k	2.2041	A
waterloo	WAO1TER0LUW2	102	CL.CL.CL	(w AO)(t ER)(l UW)	C	1	L	other	L	simple	shortV	other	-V	antepenult	2	other	C	other	-V	L	other	-V	noSuffix	open	noPrefix	other	C	uw	0	0		1.5441	NA
islamic	IH0ZLAA1MIH0K	010	LC.CL.CLC	(IH z)(l AA)(m IH k)	0	0	L	other	H	complex	shortV	other	-LC	penult	0	other	C	penultShift	-V	H	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	ih	1	1	 k	0.6990	NA
substantiate	SAH0BSTAE1NSHIY0EY2T	0102	CLC.CCLC.CL.TC	(s AH b)(s t AE n)(sh IY)(EY t)	CC	1	L	H	H	complex	longV	-LC	-LC	antepenult	2	0	C	noshiftOneSyll	-V	H	otherSingleton	-TC	suffix	Singleton	prefix	unstressed	0	ey	0	1	 t	1.2788	V
latest	LEY1TAH0ST	10	CT.CLCC	(l EY)(t AH s t)	other	other	H	other	H	simple	shortV	other	other	penult	0	other	C	other	-VV	other	SCluster	-LCC	noSuffix	Cluster	noPrefix	other	C	ah	1	2	 s t	2.9138	N
feasible	FIY1ZAH0BAH0L	100	CL.CL.CL	(f IY)(z AH)(b AL)	C	1	L	other	L	complex	shortV	other	-V	antepenult	0	other	C	noshiftTwoSyll	-V	L	other	-V	suffix	open	noPrefix	other	C	al	0	0		1.4624	A
illicit	IH0LIH1SAH0T	010	L.CL.CLC	(IH)(l IH)(s AH t)	0	0	L	other	H	complex	shortV	other	-V	penult	0	other	C	other	-V	L	otherSingleton	-LC	noSuffix	Singleton	prefix	unstressed	C	ah	1	1	 t	1.5315	A
calvary	KAE1LVER0IY0	100	CLC.CL.L	(k AE l)(v ER)(IY)	C	1	L	other	L	complex	shortV	other	-LC	antepenult	0	other	C	preantepenultShift	-V	H	other	-V	suffix	open	noPrefix	other	0	iy	0	0		1.0414	N
